Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Data de Publicação (dt);Categoria
COARTEM;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;280220131;12/04/2013;2013-04-12;novo
Pomada de Erva de Bicho Adrenalina e Hamamélis Composta Imescard;LABORATÓRIOS OSÓRIO DE MORAES LTDA;19.791.813/0001-75;279414134;12/04/2013;2013-04-12;novo
ÁGUA PARA IRRIGAÇÃO;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;287844135;16/04/2013;2013-04-16;especifico
HISOCEL;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;288501138;16/04/2013;2013-04-16;especifico
VOLULYTE;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;288610133;16/04/2013;2013-04-16;especifico
ENEMAPLEX;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;288115132;16/04/2013;2013-04-16;especifico
ALPHACAINE;DFL INDÚSTRIA E COMÉRCIO S/A;33.112.665/0001-46;401837131;21/05/2013;2013-05-21;similar
REIDRAMAX;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;410199135;23/05/2013;2013-05-23;especifico
TRINIZOL-M;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;48.396.378/0001-82;545435132;05/07/2013;2013-07-05;similar
SOLUGEL;LABORATÓRIOS STIEFEL LTDA;63.064.653/0001-54;579169133;17/07/2013;2013-07-17;novo
Dermovagin;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;780264131;16/09/2013;2013-09-16;similar
tinidazol + nitrato de miconazol;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;797164138;20/09/2013;2013-09-20;generico
FLUCONAZOL;ZYDUS NIKKHO FARMACÊUTICA LTDA;5254971000181;815162138;26/09/2013;2013-09-26;generico
STIEFCORTIL;LABORATÓRIOS STIEFEL LTDA;63.064.653/0001-54;906673130;29/10/2013;2013-10-29;similar
IQUEGO - DOXICICLINA;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;1541283000141;994505139;27/11/2013;2013-11-27;similar
EXELMIN;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;48.396.378/0001-82;1052576139;13/12/2013;2013-12-13;similar
CEFALEXINA;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;1073454136;20/12/2013;2013-12-20;generico
BUTILBROMETO DE ESCOPOLAMINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1901141;02/01/2014;2014-01-02;generico
TIOCONAZOL;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;2514143;03/01/2014;2014-01-03;generico
POLIVITAMINAS + SAIS MINERAIS;LABORATÓRIO FARMACÊUTICO VITAMED LTDA;29.346.301/0001-53;43113143;20/01/2014;2014-01-20;especifico
DICLOFENACO POTASSICO;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;96380141;07/02/2014;2014-02-07;generico
AURIS-SEDINA;LABORATÓRIOS OSÓRIO DE MORAES LTDA;19.791.813/0001-75;192163141;17/03/2014;2014-03-17;novo
Aciclovir;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;209431142;21/03/2014;2014-03-21;generico
benzoilmetronidazol;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;230094140;27/03/2014;2014-03-27;generico
