Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Categoria
LACRILAX;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;4666509216;26/11/2021;TODAS
GENFIBROZILA;EMS S/A;57.507.378/0003-65;1734513241;19/12/2024;TODAS
SUCCINATO SODICO DE HIDROCORTISONA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0996020233;19/09/2023;TODAS
OXALATO DE ESCITALOPRAM;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0648697258;14/05/2025;TODAS
FENOSUPREX;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0834938251;25/06/2025;TODAS
VIDMAX;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0218887230;06/03/2023;TODAS
LFM ZIPRASIDONA;LABORATÓRIO FARMACÊUTICO DA MARINHA;00.394.502/0071-57;2548887162;01/12/2016;TODAS
LEXAPRASS;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0711172234;11/07/2023;TODAS
NEVANAC;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0805015256;16/06/2025;TODAS
HIDROCLOROTIAZIDA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;17.875.154/0001-20;0128625252;29/01/2025;TODAS
GINKOTAB;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0134324186;21/02/2018;TODAS
ARISTOPRAMIDA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;3192087190;19/11/2019;TODAS
acetilcisteína;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;0307359247;13/03/2024;TODAS
TRAVATAN;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0484444247;17/04/2024;TODAS
FILINAR G;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0781083257;10/06/2025;TODAS
OXALATO DE ESCITALOPRAM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0720526230;13/07/2023;TODAS
TENOXICAM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0684978253;21/05/2025;TODAS
CLORIDRATO DE METOCLOPRAMIDA;CIMED INDUSTRIA S.A;02.814.497/0001-07;2477480227;20/04/2022;TODAS
FUNED DONEPEZILA;FUNDAÇÃO EZEQUIEL DIAS - FUNED;17.503.475/0001-01;2445168161;01/11/2016;TODAS
ANDROGEL;Besins Healthcare Brasil Comercial e Distribuidora de Medicamentos Ltda;11.082.598/0003-93;1006700251;05/08/2025;TODAS
FURP-GLIBENCLAMIDA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;0349163251;14/03/2025;TODAS
sulfametoxazol+trimetoprima;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;1318284244;25/09/2024;TODAS
hemifumarato de quetiapina;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1001230256;04/08/2025;TODAS
OLANZAPINA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;04.301.884/0001-75;2499163195;15/10/2019;TODAS
maleato de dexclorfeniramina;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0133860189;21/02/2018;TODAS
CANDESARTANA CILEXETILA;EMS S/A;57.507.378/0003-65;0618384251;07/05/2025;TODAS
NOTUSS TSS;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0405477252;25/03/2025;TODAS
DONILA DUO;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0247154229;19/01/2022;TODAS
ONICORYL;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0240233255;20/02/2025;TODAS
CIS;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0960748229;09/03/2022;TODAS
ESALERG;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1016501251;07/08/2025;TODAS
PERMETRINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;0514965258;15/04/2025;TODAS
VIKATRON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0925095186;24/09/2018;TODAS
DICLOFENACO SÓDICO;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;4395147224;07/07/2022;TODAS
PLENANCE;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;1170716253;02/09/2025;TODAS
MESILATO DE IMATINIBE;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;0195922255;12/02/2025;TODAS
