Medicamento;Empresa;CNPJ;Expediente;Data de Publicação_rel;Data de Publicação_cat;Data de Publicação (dt)_rel;Data de Publicação (dt)_cat;Categoria;status
Aciclovir TESTE;EMPRESA DE TESTE LTDA. (VS01);11.111.111/0001-91;1920763218;31/10/2023;28/04/2023;2023-10-31;2023-04-28;;mais_recente_em_relatorio
GENFIBROZILA;EMS S/A;57.507.378/0003-65;1734513241;19/12/2024;;2024-12-19;;;novo_em_relatorio
SUCCINATO SODICO DE HIDROCORTISONA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;996020233;19/09/2023;;2023-09-19;;;novo_em_relatorio
OXALATO DE ESCITALOPRAM;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;648697258;14/05/2025;;2025-05-14;;;novo_em_relatorio
FENOSUPREX;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;834938251;25/06/2025;;2025-06-25;;;novo_em_relatorio
VIDMAX;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;218887230;06/03/2023;;2023-03-06;;;novo_em_relatorio
LFM ZIPRASIDONA;LABORATÓRIO FARMACÊUTICO DA MARINHA;00.394.502/0071-57;2548887162;01/12/2016;;2016-12-01;;;novo_em_relatorio
LEXAPRASS;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;711172234;11/07/2023;;2023-07-11;;;novo_em_relatorio
NEVANAC;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;805015256;16/06/2025;;2025-06-16;;;novo_em_relatorio
HIDROCLOROTIAZIDA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;17.875.154/0001-20;128625252;29/01/2025;;2025-01-29;;;novo_em_relatorio
GINKOTAB;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;134324186;21/02/2018;;2018-02-21;;;novo_em_relatorio
acetilcisteína;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;307359247;13/03/2024;;2024-03-13;;;novo_em_relatorio
TRAVATAN;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;484444247;17/04/2024;;2024-04-17;;;novo_em_relatorio
FILINAR G;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;781083257;10/06/2025;;2025-06-10;;;novo_em_relatorio
OXALATO DE ESCITALOPRAM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;720526230;13/07/2023;;2023-07-13;;;novo_em_relatorio
TENOXICAM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;684978253;21/05/2025;;2025-05-21;;;novo_em_relatorio
CLORIDRATO DE METOCLOPRAMIDA;CIMED INDUSTRIA S.A;02.814.497/0001-07;2477480227;20/04/2022;;2022-04-20;;;novo_em_relatorio
ANDROGEL;Besins Healthcare Brasil Comercial e Distribuidora de Medicamentos Ltda;11.082.598/0003-93;1006700251;05/08/2025;;2025-08-05;;;novo_em_relatorio
FURP-GLIBENCLAMIDA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;349163251;14/03/2025;;2025-03-14;;;novo_em_relatorio
sulfametoxazol+trimetoprima;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;1318284244;25/09/2024;;2024-09-25;;;novo_em_relatorio
hemifumarato de quetiapina;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1001230256;04/08/2025;;2025-08-04;;;novo_em_relatorio
OLANZAPINA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;04.301.884/0001-75;2499163195;15/10/2019;;2019-10-15;;;novo_em_relatorio
maleato de dexclorfeniramina;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;133860189;21/02/2018;;2018-02-21;;;novo_em_relatorio
CANDESARTANA CILEXETILA;EMS S/A;57.507.378/0003-65;618384251;07/05/2025;;2025-05-07;;;novo_em_relatorio
NOTUSS TSS;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;405477252;25/03/2025;;2025-03-25;;;novo_em_relatorio
DONILA DUO;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;247154229;19/01/2022;;2022-01-19;;;novo_em_relatorio
ONICORYL;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;240233255;20/02/2025;;2025-02-20;;;novo_em_relatorio
ESALERG;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1016501251;07/08/2025;;2025-08-07;;;novo_em_relatorio
PERMETRINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;514965258;15/04/2025;;2025-04-15;;;novo_em_relatorio
PLENANCE;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;1170716253;02/09/2025;;2025-09-02;;;novo_em_relatorio
MESILATO DE IMATINIBE;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;195922255;12/02/2025;;2025-02-12;;;novo_em_relatorio
TIOCOLCHICOSÍDEO;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;156591251;04/02/2025;;2025-02-04;;;novo_em_relatorio
VESOMNI;ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.;07.768.134/0001-04;900984236;25/08/2023;;2023-08-25;;;novo_em_relatorio
ARISCORTEN;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1201884233;01/11/2023;;2023-11-01;;;novo_em_relatorio
METAXON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1024414248;26/07/2024;;2024-07-26;;;novo_em_relatorio
VANCOSON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;473141256;07/04/2025;;2025-04-07;;;novo_em_relatorio
MICOFENOLATO DE SÓDIO;EMS S/A;57.507.378/0003-65;834591251;25/06/2025;;2025-06-25;;;novo_em_relatorio
GENGIMIN;FARMOQUÍMICA S/A;33.349.473/0001-58;102514241;26/01/2024;;2024-01-26;;;novo_em_relatorio
OESTROGEL;Besins Healthcare Brasil Comercial e Distribuidora de Medicamentos Ltda;11.082.598/0003-93;1149793252;27/08/2025;;2025-08-27;;;novo_em_relatorio
OPRAZON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1076470238;09/10/2023;;2023-10-09;;;novo_em_relatorio
CLORIDRATO DE ZIPRASIDONA;LABORATÓRIO FARMACÊUTICO DA MARINHA;00.394.502/0071-57;1523451246;05/11/2024;;2024-11-05;;;novo_em_relatorio
RINGER;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;01.571.702/0001-98;2493003202;29/07/2020;;2020-07-29;;;novo_em_relatorio
ATORVASTATINA CÁLCICA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1058061181;05/11/2018;;2018-11-05;;;novo_em_relatorio
candesartana cilexetila + hidroclorotiazida;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;792537254;12/06/2025;;2025-06-12;;;novo_em_relatorio
LANSOPRAZOL;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1736111248;19/12/2024;;2024-12-19;;;novo_em_relatorio
DUOMO HP;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;942077253;21/07/2025;;2025-07-21;;;novo_em_relatorio
ALENDRONATO DE SÓDIO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1372370234;04/12/2023;;2023-12-04;;;novo_em_relatorio
TISSEEL;BAXTER HOSPITALAR LTDA;49.351.786/0002-61;1230775242;06/09/2024;;2024-09-06;;;novo_em_relatorio
CLORIDRATO DE HIDROXIZINA;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;02.501.297/0001-02;793945259;12/06/2025;;2025-06-12;;;novo_em_relatorio
TIVICAY;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;452108250;02/04/2025;;2025-04-02;;;novo_em_relatorio
HERZUMA;CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS BRASIL LTDA;05.452.889/0001-61;1605933244;25/11/2024;;2024-11-25;;;novo_em_relatorio
LONQUEX;TEVA FARMACÊUTICA LTDA.;05.333.542/0001-08;127572252;29/01/2025;;2025-01-29;;;novo_em_relatorio
TEICOSTON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;431266247;05/04/2024;;2024-04-05;;;novo_em_relatorio
HOLMES H;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;910294259;11/07/2025;;2025-07-11;;;novo_em_relatorio
CLORIDRATO DE MEMANTINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;662349253;16/05/2025;;2025-05-16;;;novo_em_relatorio
OLMECOR;TORRENT DO BRASIL LTDA;33.078.528/0001-32;1086391250;15/08/2025;;2025-08-15;;;novo_em_relatorio
OMEPRAZOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1389479242;09/10/2024;;2024-10-09;;;novo_em_relatorio
MEPICAIN 3%;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;753364255;04/06/2025;;2025-06-04;;;novo_em_relatorio
Simponi;JANSSEN-CILAG FARMACÊUTICA LTDA;51.780.468/0001-87;869069250;02/07/2025;;2025-07-02;;;novo_em_relatorio
LIPIDIL;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;35244259;10/01/2025;;2025-01-10;;;novo_em_relatorio
CELECOXIBE;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;516716255;15/04/2025;;2025-04-15;;;novo_em_relatorio
TAMIRAM;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;329167251;11/03/2025;;2025-03-11;;;novo_em_relatorio
LEFLUNOMIDA;LABORATÓRIO FARMACÊUTICO DA MARINHA;00.394.502/0071-57;792547250;12/06/2025;;2025-06-12;;;novo_em_relatorio
ESPINHEIRA SANTA NATULAB;NATULAB LABORATORIO S.A;02.456.955/0001-83;4754483227;28/09/2022;;2022-09-28;;;novo_em_relatorio
BENEROC;BAYER S.A.;18.459.628/0001-15;1176855247;27/08/2024;;2024-08-27;;;novo_em_relatorio
PREGABALINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;593191251;02/05/2025;;2025-05-02;;;novo_em_relatorio
NEUROCONTROL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1456840231;21/12/2023;;2023-12-21;;;novo_em_relatorio
TRIMEB;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;579145239;06/06/2023;;2023-06-06;;;novo_em_relatorio
DOPABANE;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1174188251;03/09/2025;;2025-09-03;;;novo_em_relatorio
AMLODIL;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;1445559242;21/10/2024;;2024-10-21;;;novo_em_relatorio
maleato de trimebutina;Althaia S.A Indústria Farmacêutica;48.344.725/0007-19;231099258;18/02/2025;;2025-02-18;;;novo_em_relatorio
CLORIDRATO DE ZIPRASIDONA;EMS S/A;57.507.378/0003-65;640599257;12/05/2025;;2025-05-12;;;novo_em_relatorio
ácido tranexâmico;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;741926245;04/06/2024;;2024-06-04;;;novo_em_relatorio
ADIPEPT;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1020349255;08/08/2025;;2025-08-08;;;novo_em_relatorio
MYCOSODIUM;EMS S/A;57.507.378/0003-65;834740257;25/06/2025;;2025-06-25;;;novo_em_relatorio
