"disease","disease_label","alt_label"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10001","Root Caries","Caries, Cervical"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10001","Root Caries","Caries, Root"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10001","Root Caries","Cervical Caries"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10002","Gastric Outlet Obstruction",
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10006","Mitochondrial Myopathies","Luft Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10006","Mitochondrial Myopathies","Luft's Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10006","Mitochondrial Myopathies","Megaconial Myopathies"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10006","Mitochondrial Myopathies","Mitochondrial Myopathy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10006","Mitochondrial Myopathies","Myopathies, Mitochondrial"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10006","Mitochondrial Myopathies","Pleoconial Myopathies"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10007","MELAS Syndrome","MELAS"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10007","MELAS Syndrome","Mitochondrial Encephalomyopathy, Lactic Acidosis, and Stroke-Like Episodes"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10007","MELAS Syndrome","Myopathy, Mitochondrial-Encephalopathy-Lactic Acidosis-Stroke"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10007","MELAS Syndrome","Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10007","MELAS Syndrome","Mitochondrial Myopathy, Lactic Acidosis, Stroke-Like Episode"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10008","MERRF Syndrome","Fukuhara Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10008","MERRF Syndrome","Fukuhara Syndrome"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10008","MERRF Syndrome","MERRF"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10008","MERRF Syndrome","Myoclonic Epilepsy and Ragged Red Fibers"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10008","MERRF Syndrome","Myoclonic Epilepsy with Ragged Red Fibers"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10008","MERRF Syndrome","Myoclonic Epilepsy with Ragged-Red Fibers"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10008","MERRF Syndrome","Myoclonus with Epilepsy with Ragged Red Fibers"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10008","MERRF Syndrome","Myoencephalopathy Ragged-Red Fiber Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10008","MERRF Syndrome","Myoclonic Epilepsy Associated with Ragged-Red Fibers"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10009","Ophthalmoplegia, Chronic Progressive External","CPEO"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10009","Ophthalmoplegia, Chronic Progressive External","Chronic Progressive External Ophthalmoplegia"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10009","Ophthalmoplegia, Chronic Progressive External","Graefe Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10009","Ophthalmoplegia, Chronic Progressive External","Graefe's Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10009","Ophthalmoplegia, Chronic Progressive External","Mitochondrial Ocular Myopathy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10009","Ophthalmoplegia, Chronic Progressive External","Ocular Muscular Dystrophy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10009","Ophthalmoplegia, Chronic Progressive External","Ocular Myopathy of Von Graefe-Fuchs"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10009","Ophthalmoplegia, Chronic Progressive External","Ophthalmoplegia, Progressive External"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10009","Ophthalmoplegia, Chronic Progressive External","Progressive External Ophthalmoplegia"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10011","Neurofibromatoses","Multiple Neurofibromas"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10011","Neurofibromatoses","Neurofibromatosis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10011","Neurofibromatoses","Neurofibromatosis 3"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10011","Neurofibromatoses","Neurofibromatosis Syndrome"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10011","Neurofibromatoses","Neurofibromatosis Type 3"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10014","Tick-Borne Diseases","Infections, Tick-Borne"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10014","Tick-Borne Diseases","Tick Borne Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10014","Tick-Borne Diseases","Tick-Borne Infection"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10014","Tick-Borne Diseases","Tick-Borne Infections"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10015","Polymyositis","Myositis, Multiple"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10015","Polymyositis","Polymyositis Ossificans"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10015","Polymyositis","Polymyositis, Idiopathic"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10017","Hypertrophy, Left Ventricular","Left Ventricular Hypertrophy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10017","Hypertrophy, Left Ventricular","Ventricular Hypertrophy, Left"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10018","Hypertrophy, Right Ventricular","Right Ventricular Hypertrophy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10018","Hypertrophy, Right Ventricular","Ventricular Hypertrophy, Right"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10021","Cicatrix, Hypertrophic","Scars, Hypertrophic"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10023","Skin Diseases, Eczematous","Eczematous Disorders"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10023","Skin Diseases, Eczematous","Eczematous Skin Diseases"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10026","Dermatitis, Allergic Contact","Allergic Contact Dermatitis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10026","Dermatitis, Allergic Contact","Dermatitis, Allergic Eczematous"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10026","Dermatitis, Allergic Contact","Dermatitis, Contact, Allergic"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10027","Dermatitis, Irritant","Dermatitis, Primary Irritant"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10027","Dermatitis, Irritant","Irritant Dermatitis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10028","Dermatitis, Photoallergic","Dermatitis, Contact, Photoallergic"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10028","Dermatitis, Photoallergic","Dermatitis, Contact, Photosensitive"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10028","Dermatitis, Photoallergic","Dermatitis, Photocontact"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10028","Dermatitis, Photoallergic","Photoallergic Contact Dermatitis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10028","Dermatitis, Photoallergic","Photoallergy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10028","Dermatitis, Photoallergic","Photosensitive Contact Dermatitis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10029","Dermatitis, Phototoxic","Dermatitis, Contact, Phototoxic"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10029","Dermatitis, Phototoxic","Phototoxic Contact Dermatitis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10029","Dermatitis, Phototoxic","Phototoxic Dermatitis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10029","Dermatitis, Phototoxic","Phototoxicity"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Collodion Baby Syndrome"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Collodion Fetus"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Congenital Ichthyosiform Erythroderma, Nonbullous"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Congenital Nonbullous Ichthyosiform Erythroderma"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Desquamation of Newborn"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Erythroderma Ichthyosiforme, Nonbullous"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Harlequin Baby Syndrome"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Harlequin Fetus"
