"idActiveIngredient","nameActiveIngredient","atcCode","umlsCUI","umlsTUI","therapeuticClass","prefLabel","altLabel"
"http://healdb.org/rdf-schema#AI_100","LINEZOLIDA","http://purl.bioontology.org/ontology/ATC/J01XX08","C0663241","T109","http://purl.bioontology.org/ontology/ATC/J01XX","Other antibacterials in ATC","Other antibacterials"
"http://healdb.org/rdf-schema#AI_100","LINEZOLIDA","http://purl.bioontology.org/ontology/ATC/J01XX08","C0663241","T121","http://purl.bioontology.org/ontology/ATC/J01XX","Other antibacterials in ATC","Other antibacterials"
"http://healdb.org/rdf-schema#AI_1002","DEXTRANA","http://purl.bioontology.org/ontology/ATC/V06DC01","C0017725","T109","http://purl.bioontology.org/ontology/ATC/V06DC","Carbohydrate nutrients","Carbohydrates"
"http://healdb.org/rdf-schema#AI_1002","DEXTRANA","http://purl.bioontology.org/ontology/ATC/V06DC01","C0017725","T121","http://purl.bioontology.org/ontology/ATC/V06DC","Carbohydrate nutrients","Carbohydrates"
"http://healdb.org/rdf-schema#AI_1002","DEXTRANA","http://purl.bioontology.org/ontology/ATC/V06DC01","C0017725","T123","http://purl.bioontology.org/ontology/ATC/V06DC","Carbohydrate nutrients","Carbohydrates"
"http://healdb.org/rdf-schema#AI_1002","DEXTRANA","http://purl.bioontology.org/ontology/ATC/B05CX01","C0017725","T109","http://purl.bioontology.org/ontology/ATC/B05CX","Other irrigating solutions in ATC","Other irrigating solutions"
"http://healdb.org/rdf-schema#AI_1002","DEXTRANA","http://purl.bioontology.org/ontology/ATC/B05CX01","C0017725","T121","http://purl.bioontology.org/ontology/ATC/B05CX","Other irrigating solutions in ATC","Other irrigating solutions"
"http://healdb.org/rdf-schema#AI_1002","DEXTRANA","http://purl.bioontology.org/ontology/ATC/B05CX01","C0017725","T123","http://purl.bioontology.org/ontology/ATC/B05CX","Other irrigating solutions in ATC","Other irrigating solutions"
"http://healdb.org/rdf-schema#AI_1002","DEXTRANA","http://purl.bioontology.org/ontology/ATC/V04CA02","C0017725","T109","http://purl.bioontology.org/ontology/ATC/V04CA","Diagnostic agents for diabetes testing","Tests for diabetes"
"http://healdb.org/rdf-schema#AI_1002","DEXTRANA","http://purl.bioontology.org/ontology/ATC/V04CA02","C0017725","T121","http://purl.bioontology.org/ontology/ATC/V04CA","Diagnostic agents for diabetes testing","Tests for diabetes"
"http://healdb.org/rdf-schema#AI_1002","DEXTRANA","http://purl.bioontology.org/ontology/ATC/V04CA02","C0017725","T123","http://purl.bioontology.org/ontology/ATC/V04CA","Diagnostic agents for diabetes testing","Tests for diabetes"
"http://healdb.org/rdf-schema#AI_1006","HIDROXOCOBALAMINA","http://purl.bioontology.org/ontology/ATC/B03BA03","C0020316","T109","http://purl.bioontology.org/ontology/ATC/B03BA","Vitamin B12 (cyanocobalamin and analogues)",
"http://healdb.org/rdf-schema#AI_1006","HIDROXOCOBALAMINA","http://purl.bioontology.org/ontology/ATC/B03BA03","C0020316","T121","http://purl.bioontology.org/ontology/ATC/B03BA","Vitamin B12 (cyanocobalamin and analogues)",
"http://healdb.org/rdf-schema#AI_1006","HIDROXOCOBALAMINA","http://purl.bioontology.org/ontology/ATC/B03BA03","C0020316","T127","http://purl.bioontology.org/ontology/ATC/B03BA","Vitamin B12 (cyanocobalamin and analogues)",
"http://healdb.org/rdf-schema#AI_1006","HIDROXOCOBALAMINA","http://purl.bioontology.org/ontology/ATC/V03AB33","C0020316","T109","http://purl.bioontology.org/ontology/ATC/V03AB","Antidotes",
"http://healdb.org/rdf-schema#AI_1006","HIDROXOCOBALAMINA","http://purl.bioontology.org/ontology/ATC/V03AB33","C0020316","T121","http://purl.bioontology.org/ontology/ATC/V03AB","Antidotes",
"http://healdb.org/rdf-schema#AI_1006","HIDROXOCOBALAMINA","http://purl.bioontology.org/ontology/ATC/V03AB33","C0020316","T127","http://purl.bioontology.org/ontology/ATC/V03AB","Antidotes",
"http://healdb.org/rdf-schema#AI_1009","DEXLANSOPRAZOL","http://purl.bioontology.org/ontology/ATC/A02BC06","C2348248","T109","http://purl.bioontology.org/ontology/ATC/A02BC","Proton pump inhibitors for peptic ulcer and GORD","Proton pump inhibitors"
"http://healdb.org/rdf-schema#AI_1009","DEXLANSOPRAZOL","http://purl.bioontology.org/ontology/ATC/A02BC06","C2348248","T121","http://purl.bioontology.org/ontology/ATC/A02BC","Proton pump inhibitors for peptic ulcer and GORD","Proton pump inhibitors"
"http://healdb.org/rdf-schema#AI_101","DESONIDA","http://purl.bioontology.org/ontology/ATC/D07AB08","C0011705","T109","http://purl.bioontology.org/ontology/ATC/D07AB","Corticosteroids, moderately potent (group II)",
"http://healdb.org/rdf-schema#AI_101","DESONIDA","http://purl.bioontology.org/ontology/ATC/D07AB08","C0011705","T121","http://purl.bioontology.org/ontology/ATC/D07AB","Corticosteroids, moderately potent (group II)",
"http://healdb.org/rdf-schema#AI_101","DESONIDA","http://purl.bioontology.org/ontology/ATC/S01BA11","C0011705","T109","http://purl.bioontology.org/ontology/ATC/S01BA","Corticosteroid ophthalmologic antiinflammatory agents, plain","Corticosteroids, plain"
"http://healdb.org/rdf-schema#AI_101","DESONIDA","http://purl.bioontology.org/ontology/ATC/S01BA11","C0011705","T121","http://purl.bioontology.org/ontology/ATC/S01BA","Corticosteroid ophthalmologic antiinflammatory agents, plain","Corticosteroids, plain"
"http://healdb.org/rdf-schema#AI_1010","ACETAZOLAMIDA","http://purl.bioontology.org/ontology/ATC/S01EC01","C0000981","T109","http://purl.bioontology.org/ontology/ATC/S01EC","Carbonic anhydrase inhibitors, antiglaucoma drugs and miotics","Carbonic anhydrase inhibitors"
"http://healdb.org/rdf-schema#AI_1010","ACETAZOLAMIDA","http://purl.bioontology.org/ontology/ATC/S01EC01","C0000981","T121","http://purl.bioontology.org/ontology/ATC/S01EC","Carbonic anhydrase inhibitors, antiglaucoma drugs and miotics","Carbonic anhydrase inhibitors"
"http://healdb.org/rdf-schema#AI_1016","BETAISTINA","http://purl.bioontology.org/ontology/ATC/N07CA01","C0005301","T109","http://purl.bioontology.org/ontology/ATC/N07CA","Antivertigo preparations",
"http://healdb.org/rdf-schema#AI_1016","BETAISTINA","http://purl.bioontology.org/ontology/ATC/N07CA01","C0005301","T121","http://purl.bioontology.org/ontology/ATC/N07CA","Antivertigo preparations",
"http://healdb.org/rdf-schema#AI_1023","DIMETICONA","http://purl.bioontology.org/ontology/ATC/P03AX05","C1113707","T109","http://purl.bioontology.org/ontology/ATC/P03AX","Other ectoparasiticides, incl. scabicides in ATC","Other ectoparasiticides, incl. scabicides"
"http://healdb.org/rdf-schema#AI_1023","DIMETICONA","http://purl.bioontology.org/ontology/ATC/P03AX05","C1113707","T121","http://purl.bioontology.org/ontology/ATC/P03AX","Other ectoparasiticides, incl. scabicides in ATC","Other ectoparasiticides, incl. scabicides"
"http://healdb.org/rdf-schema#AI_1024","PEPSINA","http://purl.bioontology.org/ontology/ATC/A09AA03","C0030909","T116","http://purl.bioontology.org/ontology/ATC/A09AA","Enzyme preparations, digestives","Enzyme preparations"
"http://healdb.org/rdf-schema#AI_1024","PEPSINA","http://purl.bioontology.org/ontology/ATC/A09AA03","C0030909","T121","http://purl.bioontology.org/ontology/ATC/A09AA","Enzyme preparations, digestives","Enzyme preparations"
