id_active_ingredient,nm_active_ingredient,cd_nct,ds_title,ds_conditions,ds_interventions,ds_outcomes
3,SALICILATO DE SÓDIO,NCT01514682,Anti-Inflammatory Treatment of Schizophrenia,Schizophrenia,"Anti-inflammatory Combination Therapy, Placebo","Change in Persistent Positive Symptoms, Change in Neuropsychological Test Performance, Change in Depressive Symptoms, Change in Negative Symptoms, Change in Pro-inflammatory Cytokines, Change in C-Reactive Protein (CRP)"
3,SALICILATO DE SÓDIO,NCT01046682,Safety and Efficacy of Salsalate to Treat Endothelial Dysfunction in HIV-infected Adults,"HIV, Endothelial Dysfunction, Inflammation, Insulin Resistance",Salsalate,Change in Flow Mediated Dilation (FMD) of the Brachial Artery Measured by Ultrasound Over 13 Weeks
3,SALICILATO DE SÓDIO,NCT01182727,Salsalate for Insulin Resistance in Schizophrenia,"Schizophrenia, Insulin Resistance",salsalate,Side Effects of Salsalate
3,SALICILATO DE SÓDIO,NCT02936843,Targeting Inflammation With Salsalate in Type 1 Diabetes Neuropathy,"Type 1 Diabetes, Peripheral Neuropathy","Salsalate, PLACEBO","Skin Biopsy - Intraepidermal Nerve Fiber Density (IENFD) - Distal Thigh, Measures of Cardiac Autonomic Neuropathy (CAN) - Valsalva Ratio, Measures of Cardiac Autonomic Neuropathy (CAN) - Expiration/Inspiration Ratio, Measures of Cardiac Autonomic Neuropathy (CAN) - 30:15 Ratio, Measures of Cardiac Autonomic Neuropathy (CAN) - SDNN, Measures of Cardiac Autonomic Neuropathy (CAN) - RMSSD, Nerve Conduction, Quantitative Sensory Testing - Just Noticeable Difference in COLD Detection, Quantitative Sensory Testing - Just Noticeable Difference- Vibration, Diabetic Neuropathy Symptoms, Survey of Autonomic Symptoms (SAS), The DCCT/EDIC Structured Neurological Examination, NeuroQOL, Neuropathic Pain Scale, The Berg Balance Scale, 8 Foot Up and Go Test, The Modified Falls Efficacy Scale"
3,SALICILATO DE SÓDIO,NCT01775865,Targeting Inflammation to Treat Cardiovascular Aging,"Vascular Stiffness, Endothelial Dysfunction, Diastolic Dysfunction","Salsalate, Placebo (for salsalate)","Carotid-femoral Pulse Wave Velocity (CFPWV), Brachial Artery Flow-mediated Dilation (FMD), Tissue Doppler Left Ventricular Relaxation Velocity (E')"
5,ACIDO ACETILSALICILICO,NCT03961360,Effectiveness of Higher Aspirin Dosing for Prevention of Preeclampsia in High Risk Obese Gravida,"Pre-Eclampsia, Hypertension in Pregnancy, Obesity","Aspirin 81 mg, Aspirin 162 mg","Number of Participants With Preeclampsia Diagnosis With Severe Features Based on Clinician Diagnosis, Maternal Outcomes- Number of Participants Who Delivered Due to Preeclampsia With Severe Features, Maternal Outcomes-Number of Participants With Gestational Hypertension, Maternal Outcomes- Number of Participants With Placenta Abruption, Maternal Outcomes- Number of Participants With Eclampsia, Maternal Outcomes- Number of Participants With HELLP Syndrome, Maternal Outcomes- Number of Participants With Postpartum Hemorrhage, Maternal Outcomes- Number of Participants With Other Maternal Bleeding, Maternal Outcomes- Number of Participants That Required Blood Transfusion, Neonatal Outcome- Gestational Age at Delivery, Neonatal Outcomes-Delivery at < 37 Weeks, Neonatal Outcomes-Apgar Score < 5 at 5 Minutes, Neonatal Outcome-Small for Gestational Age, Neonatal Outcome-Neonatal Intensive Care Unit (NICU) Length of Stay, Neonatal Outcome- Number of Participants With Intraventricular Hemorrhage Grade III-IV, Neonatal Outcome-Number of Participants With Bronchopulmonary Dysplasia, Neonatal Outcome-Number of Participants With Necrotizing Enterocolitis"
6,ACETATO DE ABIRATERONA,NCT02903160,"Prostate Cancer Intensive, Non-Cross Reactive Therapy (PRINT) for Castration Resistant Prostate Cancer (CRPC)",Prostate Cancer,"Abiraterone acetate, Prednisone, Radium-223 dichloride, cabazitaxel, Carboplatin, Enzalutamide","Time to Disease Progression, Overall Survival (OS), Overall Rate of Survival, Number of Participants With PSA Response Rate >90%, Number of Participants With PSA Response Rate >=50%, Number of Participants With PSA Progression Compared to Baseline., Number of Participants With Stable PSA as Compared to Baseline, Number of Participants With Normal Alkaline Phosphatase Levels"
6,ACETATO DE ABIRATERONA,NCT03002220,Trial of Rad-223 Activity in Asymptomatic Patients With mCRPC While on Abiraterone or Enzalutamide Besides AR-V7 Status,Prostate Cancer,radium-223,"Assess the Efficacy of Radium-223 in Terms of Radiological rPFS, AEs and Serious Adverse Events (SAEs), Radiographic Progression-free Survival (rPFS) Depending on AR-V7 Status., Overall Survival (OS)., Time to First Symptomatic Skeletal Event (SSE)., Time to PSA Progression According to the ALSYMPCA Study Criteria., PSA Progression, Alkaline Phosphatase Level Response (AF), Normalization of Alkaline Phosphatase Level, Assessment of AR-V7 Mutation Evolution, Number of Participants With Change in CTCs Number"
6,ACETATO DE ABIRATERONA,NCT03777982,Conventional Androgen Deprivation Therapy (ADT) With or Without Abiraterone Acetate + Prednisone and Apalutamide Following a Detectable PSA After Radiation and ADT,Prostate Cancer,"Prednisone, Apalutamide, Abiraterone Acetate, LHRH Agonist or Antagonist","Metastasis Free Survival, PSA Nadir, Castrate Resistant PSA Failure Free Survival, Prostate Cancer Specific Survival, Overall Survival, Disease Free Survival"
6,ACETATO DE ABIRATERONA,NCT02116582,A Study to Evaluate Enzalutamide After Abiraterone in Metastatic Castration-Resistant Prostate Cancer,Metastatic Castration-Resistant Prostate Cancer,Enzalutamide,"Radiographic Progression-free Survival (rPFS), Overall Survival (OS), Percentage of Participants With a Prostate-specific Antigen (PSA) Response, Time to PSA Progression, Number of Participants With Adverse Events (AEs)"
7,CLOTRIMAZOL,NCT00526227,SecuraTM ICD Clinical Evaluation Study,Tachyarrhythmias,Secura ICD,"Freedom From Unanticipated Serious Adverse Device Effects at 1-month Post Implant., System Performance Assessed by Holter Records, Adverse Events, System Performance Assessed by Save to Disk Files, System Performance Assessed by Technical Observations"
