id_active_ingredient,active_ingredient,active_ingredient_eng
1,EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA,Fluid extract from bitter orange peel
2,EXTRATO FLUIDO DE PASSIFLORA ALATA,Extruded fluid of alata
3,SALICILATO DE SÓDIO,Sodium salicylate
4,TINTURA AGONIADA PLUMÉRIA,TINTURA AGONIADA PLUMÉRIA It is also known as TINTURA AGONIADA PLUMÉRIA
5,ACIDO ACETILSALICILICO,Acetylsalicylic acid
6,ACETATO DE ABIRATERONA,Acetate of abiraterone
7,CLOTRIMAZOL,Clotrimazole and its derivatives
8,BETAÍNA,"Bethany, please."
9,CITRATO DE COLINA,Cinnamon citrate
10,DL-METIONINA,DL-methionine and its salts
11,LEVOMETIONINA,Other medicinal products
12,DIPIRONA,DIPRONA is the name of the country.
13,ATENOLOL,The Athenol
14,CLORTALIDONA,Cloridone and its derivatives
15,CLORIDRATO DE DULOXETINA,Chloride of duloxetine
16,HEDERA HELIX L.,HEDERA HELIX L. This is a list of people who have been awarded the Nobel Prize in Physiology or Medicine.
17,CRATAEGUS RHIPIDOPHYLLA GAND.,The crataegus rhizophyllla is a type of crataegus.
18,PASSIFLORA INCARNATA L.,"Passyflora incarnata, also known as"
19,VALERIANA OFFICINALIS L.,Valeriana Officinalis L. was born in
20,ACETATO DE RACEALFATOCOFEROL,Acetate of racalphatocoferol
21,BETACAROTENO,"Bettacarotene, also known as betacarotene"
22,OXIDO CUPRICO,Oxygenated copper
23,RIBOFLAVINA,"Riboflavina, also known as riboflavina"
24,SELENATO DE SÓDIO,Sodium selenate
25,ÁCIDO ASCÓRBICO,Ascorbic acid
26,ÓXIDO DE ZINCO,
27,ACEBROFILINA,
28,ACECLOFENACO,
29,PERÓXIDO DE URÉIA,
30,INDAPAMIDA,
31,PERINDOPRIL ARGININA,
32,BESILATO DE ANLODIPINO,
33,CLORIDRATO DE TIAMINA,
34,ACETATO DE CIPROTERONA,
35,ETINILESTRADIOL,
36,ACETATO DE CLORMADINONA,
37,ACETATO DE CLOSTEBOL,
38,SULFATO DE NEOMICINA,
39,ACETATO DE DEXAMETASONA,
40,ACETATO DE HIDROCORTISONA,
41,ACETATO DE PREDNISOLONA,
42,ACETATO DE SÓDIO TRI-HIDRATADO,
43,DEXAMETASONA,
44,ACETILCISTEÍNA,
45,ACETONIDA DE TRIANCINOLONA,
46,GRAMICIDINA,
47,NISTATINA,
48,TRIANCINOLONA ACETONIDA,
49,ÁCIDO ZOLEDRÔNICO MONOIDRATADO,
50,ÁCIDO FÓLICO,
51,CORDIA VERBENACEA DC.,
52,CLORIDRATO DE VALACICLOVIR,
53,ACICLOVIR,
54,ACICLOVIR SÓDICO,
55,ÁCIDO MEFENÂMICO,
56,ÁCIDO TRANEXÂMICO,
57,AMOXICILINA TRI-HIDRATADA,
58,CLAVULANATO DE POTÁSSIO,
59,ENXOFRE,
60,PERÓXIDO DE BENZOÍLA,
61,ISOTRETINOÍNA,
62,RIVAROXABANA,
63,CLORIDRATO DE PSEUDOEFEDRINA,
64,CLORIDRATO DE TRIPROLIDINA,
65,ALTEPLASE,
66,SENNA ALEXANDRINA MILL.,
67,RISEDRONATO SÓDICO,
68,CARMELOSE SÓDICA,
69,GLICEROL,
70,TROMETAMOL CETOROLACO,
71,COLECALCIFEROL,
72,PALMITATO DE RETINOL,
73,MATRICARIA RECUTITA L.,
74,ACETATO DE RETINOL,
75,AGLUTINÓGENOS FIMBRIAIS DE BORDETELLA PERTUSSIS DOS SOROTIPOS 2 E 3,
76,HEMAGLUTININA FILAMENTOSA,
77,PERTACTINA,
78,TOXÓIDE TETÂNICO,
79,TOXÓIDE DIFTÉRICO,
80,TOXÓIDE PERTUSSIS,
81,ADAPALENO,
82,FOSFATO DE CLINDAMICINA,
